Ring,Date,Year,Month,Day,HatchDate,DaysSinceHatching,study_area,Dist2Nest
3406465,2011-09-22T00:00:00Z,2011,09,265,2011-05-12,133,FALSE,27.759623751287766
3405803,2011-08-12T00:00:00Z,2011,08,224,2011-05-13,91,TRUE,0.503262954038058
3406478,2011-09-18T00:00:00Z,2011,09,261,2011-05-17,124,FALSE,28.568115330160445
3406496,2011-09-20T00:00:00Z,2011,09,263,2011-05-18,125,FALSE,37.46495908141175
3406496,2012-02-03T00:00:00Z,2012,02,34,2011-05-18,261,FALSE,254.140855953298
3406496,2015-10-30T00:00:00Z,2015,10,303,2011-05-18,1626,FALSE,254.140855953298
3405787,2011-09-29T00:00:00Z,2011,09,272,2011-05-16,136,FALSE,31.093323769166393
3405787,2012-02-06T00:00:00Z,2012,02,37,2011-05-16,266,FALSE,31.093323769166393
3406155,2011-10-08T00:00:00Z,2011,10,281,2010-05-06,520,FALSE,31.628174740741557
3406155,2012-02-25T00:00:00Z,2012,02,56,2010-05-06,660,FALSE,31.628174740741557
3406155,2012-12-20T00:00:00Z,2012,12,355,2010-05-06,959,FALSE,31.628174740741557
3403728,2011-10-15T00:00:00Z,2011,10,288,2010-05-14,519,FALSE,326.95833591371354
3403728,2012-02-01T00:00:00Z,2012,02,32,2010-05-14,628,FALSE,326.95833591371354
3403728,2012-10-15T00:00:00Z,2012,10,289,2010-05-14,885,FALSE,326.95833591371354
3403728,2014-03-30T00:00:00Z,2014,03,89,2010-05-14,1416,TRUE,13.969839571061144
3109030,2011-10-16T00:00:00Z,2011,10,289,2010-05-08,526,TRUE,3.9038574863899247
3109030,2016-11-14T00:00:00Z,2016,11,319,2010-05-08,2382,FALSE,20.141575151436605
3109065,2011-10-16T00:00:00Z,2011,10,289,2010-05-04,530,TRUE,3.1127837299591596
3403749,2011-10-16T00:00:00Z,2011,10,289,2011-05-05,164,FALSE,318.73421241990485
3405757,2011-11-13T00:00:00Z,2011,11,317,2011-05-15,182,TRUE,1.387922116778919
3405757,2013-03-20T00:00:00Z,2013,03,79,2011-05-15,675,TRUE,5.014548804111736
3403735,2011-11-19T00:00:00Z,2011,11,323,2011-04-30,203,TRUE,1.988344610477249
3403714,2011-11-20T00:00:00Z,2011,11,324,2010-05-14,555,TRUE,0.001257204540805044
3403714,2012-06-02T00:00:00Z,2012,06,154,2010-05-14,750,TRUE,1.296642512475375
3403714,2012-10-20T00:00:00Z,2012,10,294,2010-05-14,890,TRUE,1.296642512475375
3403714,2014-05-25T00:00:00Z,2014,05,145,2010-05-14,1472,TRUE,1.296642512475375
3403714,2015-05-19T00:00:00Z,2015,05,139,2010-05-14,1831,TRUE,0.6185681216308776
3403714,2016-04-01T00:00:00Z,2016,04,92,2010-05-14,2149,TRUE,0.6185681216308776
3403714,2017-03-31T00:00:00Z,2017,03,90,2010-05-14,2513,TRUE,0.6185681216308776
3403714,2018-04-01T00:00:00Z,2018,04,91,2010-05-14,2879,TRUE,0.6185681216308776
3403714,2019-04-05T00:00:00Z,2019,04,95,2010-05-14,3248,TRUE,0.6185681216308776
3403714,2020-03-21T00:00:00Z,2020,03,81,2010-05-14,3599,TRUE,0.6185681216308776
3403729,2011-11-30T00:00:00Z,2011,11,334,2010-05-10,569,FALSE,217.4599763701855
3403729,2012-10-01T00:00:00Z,2012,10,275,2010-05-10,875,TRUE,5.039438692468547
3405755,2011-12-10T00:00:00Z,2011,12,344,2011-05-13,211,TRUE,0.0016359220662814692
3405755,2013-05-02T00:00:00Z,2013,05,122,2011-05-13,720,TRUE,2.6201850628329977
3405755,2014-04-01T00:00:00Z,2014,04,91,2011-05-13,1054,TRUE,0.7901592816790466
3405755,2016-04-01T00:00:00Z,2016,04,92,2011-05-13,1785,TRUE,0.7901592816790466
3405755,2017-04-01T00:00:00Z,2017,04,91,2011-05-13,2150,TRUE,0.7901592816790466
3405755,2018-04-01T00:00:00Z,2018,04,91,2011-05-13,2515,TRUE,0.7901592816790466
3406226,2011-12-24T00:00:00Z,2011,12,358,2010-05-05,598,FALSE,195.3974021050685
3406493,2012-01-14T00:00:00Z,2012,01,14,2011-05-13,246,FALSE,255.77476819172568
3109086,2012-01-26T00:00:00Z,2012,01,26,2010-05-08,628,FALSE,32.1701929520296
3108917,2012-02-01T00:00:00Z,2012,02,32,2009-05-20,987,FALSE,319.1669331785292
3405764,2012-02-20T00:00:00Z,2012,02,51,2011-05-12,284,FALSE,28.26017646049216
3143834,2012-03-27T00:00:00Z,2012,03,87,2007-04-29,1794,FALSE,9.131676053621177
3108945,2012-03-28T00:00:00Z,2012,03,88,2009-05-09,1054,TRUE,2.5033411050376895
3406243,2012-03-28T00:00:00Z,2012,03,88,2010-05-09,689,TRUE,4.174293694476587
3406243,2014-05-15T00:00:00Z,2014,05,135,2010-05-09,1467,TRUE,4.174293694476587
3406243,2014-06-28T00:00:00Z,2014,06,179,2010-05-09,1511,TRUE,4.174293694476587
3406243,2012-11-23T00:00:00Z,2012,11,328,2010-05-09,929,TRUE,4.910268283410248
3406243,2012-12-23T00:00:00Z,2012,12,358,2010-05-09,959,TRUE,4.910268283410248
3405767,2012-04-09T00:00:00Z,2012,04,100,2011-05-12,333,TRUE,13.701461858012827
3405767,2012-12-25T00:00:00Z,2012,12,360,2011-05-12,593,TRUE,14.496257641108716
3405811,2012-04-12T00:00:00Z,2012,04,103,2011-05-21,327,TRUE,0.6942920724428332
3405811,2013-01-26T00:00:00Z,2013,01,26,2011-05-21,616,TRUE,4.193597814603825
3405811,2013-01-27T00:00:00Z,2013,01,27,2011-05-21,617,TRUE,5.208716207369688
3403723,2012-04-18T00:00:00Z,2012,04,109,2010-05-06,713,TRUE,5.055024422370982
3403723,2013-08-14T00:00:00Z,2013,08,226,2010-05-06,1196,FALSE,95.93029823750497
3403723,2016-03-07T00:00:00Z,2016,03,67,2010-05-06,2132,FALSE,17.052277195454202
3403723,2017-02-08T00:00:00Z,2017,02,39,2010-05-06,2470,FALSE,96.06613830511415
3108922,2012-04-30T00:00:00Z,2012,04,121,2009-05-23,1073,TRUE,7.349725246615613
3108922,2013-03-18T00:00:00Z,2013,03,77,2009-05-23,1395,TRUE,7.472796207749712
3109012,2012-05-02T00:00:00Z,2012,05,123,2010-05-06,727,TRUE,3.26008799235656
3109012,2012-05-12T00:00:00Z,2012,05,133,2010-05-06,737,TRUE,3.26008799235656
3109012,2013-03-28T00:00:00Z,2013,03,87,2010-05-06,1057,TRUE,3.26008799235656
3109012,2013-04-07T00:00:00Z,2013,04,97,2010-05-06,1067,TRUE,3.26008799235656
3109012,2015-04-14T00:00:00Z,2015,04,104,2010-05-06,1804,TRUE,3.26008799235656
3109012,2018-02-09T00:00:00Z,2018,02,40,2010-05-06,2836,TRUE,3.26008799235656
3109012,2013-09-10T00:00:00Z,2013,09,253,2010-05-06,1223,TRUE,1.8926992001326952
3109012,2013-09-15T00:00:00Z,2013,09,258,2010-05-06,1228,TRUE,1.8926992001326952
3109012,2015-04-25T00:00:00Z,2015,04,115,2010-05-06,1815,TRUE,3.7413939797396782
3109012,2015-04-29T00:00:00Z,2015,04,119,2010-05-06,1819,TRUE,3.7413939797396782
3109012,2015-05-17T00:00:00Z,2015,05,137,2010-05-06,1837,TRUE,3.7413939797396782
3109012,2015-06-04T00:00:00Z,2015,06,155,2010-05-06,1855,TRUE,3.7413939797396782
3109012,2016-04-11T00:00:00Z,2016,04,102,2010-05-06,2167,TRUE,3.9044677886740744
3109012,2018-01-06T00:00:00Z,2018,01,6,2010-05-06,2802,TRUE,3.9044677886740744
3109012,2016-05-16T00:00:00Z,2016,05,137,2010-05-06,2202,FALSE,4.144676742850274
3403692,2012-05-14T00:00:00Z,2012,05,135,2010-05-18,727,TRUE,4.859909293093181
3405797,2012-05-15T00:00:00Z,2012,05,136,2011-05-04,377,TRUE,6.962749465082345
3407385,2012-07-01T00:00:00Z,2012,07,183,2012-05-06,56,TRUE,0.569145775760605
3407386,2012-07-01T00:00:00Z,2012,07,183,2012-05-04,58,TRUE,0.569145775760605
3407317,2012-07-15T00:00:00Z,2012,07,197,2012-05-06,70,TRUE,0.7165880907849941
3407464,2012-07-20T00:00:00Z,2012,07,202,2012-05-11,70,TRUE,0.2772508660786229
3407391,2012-07-25T00:00:00Z,2012,07,207,2012-05-07,79,TRUE,0.6251205616401289
3407391,2014-09-08T00:00:00Z,2014,09,251,2012-05-07,854,TRUE,2.1109551751774918
