model,DeltaQAICc,weight,npar,QDeviance
S(AgeClass3 * NAO + Time + Juvenile:Body condition)p(1)r(1)F(1),36.249683894216105,6.057807265866928e-9,22,5757.329194569016
S(AgeClass3 * NAO + Juvenile:Leucocytozoon)p(Time)r(1)F(1),36.61491008332723,5.046701203092339e-9,22,1845.071095613176
S(AgeClass3 + Time + Juvenile:Nestling age:Leucocytozoon)p(1)r(1)F(1),36.83056516274792,4.530839593367532e-9,20,5761.958908052158
S(AgeClass3 + Time)p(1)r(1)F(1),37.63490507014558,3.0305293563310573e-9,18,1854.1841749022753
S(AgeClass3 + Time + Juvenile:Hatch date)p(1)r(1)F(1),38.16760509334836,2.321903440348564e-9,19,5765.318646056592
S(AgeClass3 + NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(1)r(1)F(1),38.85440826804188,1.6470498376205586e-9,21,5761.958908052158
S(AgeClass3 + Time + Juvenile:Nestling age)p(1)r(1)F(1),39.37756687901128,1.267956316724698e-9,19,5766.528607842255
S(AgeClass3 + Time + Sex)p(1)r(1)F(1),39.4523267937775,1.2214350616440173e-9,19,1853.9800426120703
S(AgeClass3 + Time + Leucocytozoon)p(1)r(1)F(1),39.4525839953194,1.2212779942531353e-9,19,1853.9802998136115
S(AgeClass3 + Time + Juvenile:Rank)p(1)r(1)F(1),39.642141531498964,1.1108428801454794e-9,19,5766.793182494743
S(AgeClass3 + NAO + Time)p(1)r(1)F(1),39.656459083982554,1.1029190010058593e-9,19,1854.1841749022753
S(AgeClass3 + NAO + Time + Juvenile:Hatch date)p(1)r(1)F(1),40.19030316718181,8.445412155936062e-10,20,5765.318646056592
S(AgeClass3 + Time + Morph)p(1)r(1)F(1),40.24774484481168,8.206302979014518e-10,20,1852.7527625892708
S(AgeClass3 + Time + Juvenile:Leucocytozoon)p(1)r(1)F(1),40.997658806350955,5.640346694141756e-10,20,1853.5026765508092
S(AgeClass3 + NAO + Time + Juvenile:Nestling age)p(1)r(1)F(1),41.400264952844736,4.6119117205214755e-10,20,5766.528607842255
S(AgeClass3 + NAO + Time + Sex)p(1)r(1)F(1),41.475024867610955,4.4427009056614045e-10,20,1853.9800426120703
S(AgeClass3 + NAO + Time + Leucocytozoon)p(1)r(1)F(1),41.475282069152854,4.442129607635309e-10,20,1853.9802998136115
S(AgeClass3 + NAO + Time + Juvenile:Rank)p(1)r(1)F(1),41.66483960533242,4.040446213347831e-10,20,5766.793182494743
S(AgeClass3 + NAO + Time + Morph)p(1)r(1)F(1),42.27158795010564,2.9831534995934617e-10,21,1852.7527625892708
S(AgeClass3 * NAO + Time + Juvenile:Nestling age:Leucocytozoon)p(1)r(1)F(1),42.84329069129126,2.2414648247072891e-10,23,5761.896665279085
S(AgeClass3 + NAO + Time + Juvenile:Leucocytozoon)p(1)r(1)F(1),43.02150191164492,2.0503776210283182e-10,21,1853.5026765508092
S(AgeClass3 * NAO + Time)p(1)r(1)F(1),43.66064774258939,1.489515748451795e-10,21,1854.141908115601
S(AgeClass3 * NAO + Time + Juvenile:Hatch date)p(1)r(1)F(1),44.14928630991653,1.1666446199120362e-10,22,5765.228796984717
