Model,DeltaQAICc,weight,npar,QDeviance
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME + AGE)r(~AGE2)F(~SEX),17.09308944,3.12E-05,28,4986.624218
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),17.41234296,2.66E-05,35,4972.666961
S(~AGE + NAO + EKTO + ENDO + MORPH + SEX)p(~TIME)r(~AGE2)F(~SEX),17.47468292,2.58E-05,26,4991.07356
S(~AGE + NAO + EKTO + ENDO)p(~TIME + AGE)r(~AGE2)F(~1),17.47548586,2.58E-05,25,4993.106367
S(~AGE + NAO)p(~TIME)r(~AGE2)F(~AGE),17.73701103,2.26E-05,24,838.3344134
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME)r(~AGE2)F(~AGE),17.74981222,2.25E-05,39,4964.818805
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),17.92676115,2.06E-05,43,4956.789947
S(~AGE + NAO + EKTO + ENDO)p(~TIME)r(~AGE2)F(~1),18.12880937,1.86E-05,23,4997.819966
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME + AGE)r(~AGE2)F(~1),18.24213788,1.76E-05,26,4991.841015
S(~AGE + NAO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),18.34533138,1.67E-05,26,834.8800447
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~AGE),18.35152388,1.66E-05,40,4963.37096
S(~AGE + NAO)p(~TIME + AGE)r(~AGE2)F(~AGE),18.45815727,1.58E-05,26,834.9927959
S(~AGE + NAO + SEX)p(~TIME + AGE)r(~AGE2)F(~AGE + SEX),18.48172147,1.56E-05,28,830.9486114
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO)p(~TIME + AGE)r(~AGE2)F(~AGE),18.49169529,1.55E-05,41,4961.460312
S(~AGE + NAO + EKTO + ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),18.68113446,1.41E-05,24,4996.342775
S(~AGE * BCI + AGE * NAO + AGE * EKTO + AGE * ENDO + SEX)p(~TIME)r(~AGE2)F(~AGE + SEX),18.75990878,1.36E-05,41,4961.728525
S(~AGE * NAO + AGE * EKTO + AGE * ENDO + MORPH)p(~TIME)r(~AGE2)F(~1),18.787444,1.34E-05,33,4978.127331
